State,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21
AL,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
AK,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
AZ,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
AR,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
CA,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
CO,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
CT,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
DE,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
DC,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
FL,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
GA,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
HI,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
ID,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
IL,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
IN,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
IA,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
KS,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
KY,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
LA,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
ME,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
MD,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
MA,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
MI,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
MN,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
MS,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
MO,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
MT,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
NE,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
NV,20.1,20.2,20.3,20.4,21.1,21.2,21.3,21.4,22.1,22.2,22.3,22.4,23.1,23.2,23.3,23.4,24.1,24.2,24.3,24.4,25.1
