State,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21
AL,1613041.00,1515645.00,1543225.00,1583293.00,1579456.00,1601694.00,1605862.00,1647671.00,1638475.00,1657787.00,1674393.00,1688803.00,1686946.00,1708960.00,1706081.00,1717831.00,1707474.00,1725880.00,1717620.00,1729904.00,1708651.00
AK,235698.00,227399.00,228049.00,215719.00,220810.00,245214.00,242611.00,224104.00,228569.00,258554.00,250131.00,228678.00,235080.00,270372.00,261119.00,235219.00,241664.00,273541.00,265415.00,240456.00,245548.00
AZ,2554040.00,2374783.00,2402940.00,2518082.00,2512893.00,2520683.00,2571460.00,2668498.00,2668783.00,2657484.00,2696840.00,2762188.00,2761062.00,2747384.00,2776151.00,2820693.00,2830052.00,2784427.00,2802724.00,2859339.00,2839558.00
AR,1018295.00,962879.00,981325.00,997806.00,999374.00,1013345.00,1014412.00,1040541.00,1038314.00,1058532.00,1070247.00,1076376.00,1074842.00,1086913.00,1087630.00,1096581.00,1092715.00,1099815.00,1103124.00,1110368.00,1102280.00
CA,14976380.00,13507039.00,13746944.00,14031255.00,14058650.00,14533181.00,14775710.00,15198749.00,15210286.00,15487506.00,15595761.00,15567008.00,15241814.00,15542762.00,15565519.00,15550847.00,15395104.00,15521413.00,15570726.00,15583720.00,15357656.00
CO,2295215.00,2130628.00,2180849.00,2197370.00,2215591.00,2297666.00,2300457.00,2351626.00,2341836.00,2406199.00,2389048.00,2419847.00,2399795.00,2463012.00,2430176.00,2461799.00,2399906.00,2460666.00,2438734.00,2447344.00,2400052.00
CT,1409791.00,1284576.00,1341035.00,1361969.00,1335702.00,1393081.00,1389746.00,1422104.00,1398738.00,1448071.00,1435709.00,1445665.00,1420592.00,1475130.00,1454520.00,1464971.00,1434657.00,1482030.00,1465379.00,1475210.00,1442877.00
DE,379057.00,358258.00,367857.00,369879.00,364393.00,379106.00,376917.00,385715.00,381332.00,395286.00,395693.00,398545.00,395568.00,411611.00,406125.00,406048.00,402458.00,415054.00,412522.00,411223.00,404806.00
DC,540458.00,464125.00,472155.00,473116.00,469177.00,483503.00,495558.00,508760.00,507896.00,512734.00,520884.00,522599.00,523422.00,529937.00,526685.00,527503.00,523733.00,527956.00,524690.00,525426.00,514508.00
FL,7868494.00,7166977.00,7251226.00,7587923.00,7643078.00,7737336.00,7846536.00,8177277.00,8191390.00,8255133.00,8355170.00,8540110.00,8561187.00,8578842.00,8573455.00,8764039.00,8736606.00,8698874.00,8696412.00,8855903.00,8828198.00
