State,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21
AL,966.00,943.00,957.00,1088.00,983.00,990.00,1008.00,1144.00,1067.00,1047.00,1101.00,1148.00,1157.00,1088.00,1101.00,1192.00,1194.00,1131.00,1143.00,1243.00,1242.00
AK,1137.00,1147.00,1156.00,1244.00,1120.00,1123.00,1196.00,1317.00,1190.00,1189.00,1300.00,1303.00,1319.00,1247.00,1314.00,1375.00,1380.00,1317.00,1360.00,1446.00,1462.00
AZ,1100.00,1073.00,1082.00,1215.00,1158.00,1141.00,1155.00,1287.00,1252.00,1202.00,1246.00,1273.00,1343.00,1247.00,1241.00,1314.00,1393.00,1304.00,1298.00,1404.00,1447.00
AR,931.00,913.00,892.00,1009.00,972.00,960.00,965.00,1077.00,1083.00,979.00,1037.00,1068.00,1152.00,1019.00,1040.00,1093.00,1196.00,1058.00,1098.00,1166.00,1265.00
CA,1462.00,1465.00,1455.00,1749.00,1644.00,1586.00,1579.00,1834.00,1657.00,1565.00,1587.00,1691.00,1739.00,1618.00,1594.00,1770.00,1838.00,1691.00,1675.00,1881.00,1918.00
CO,1309.00,1240.00,1234.00,1399.00,1365.00,1298.00,1326.00,1511.00,1494.00,1379.00,1448.00,1495.00,1600.00,1444.00,1444.00,1538.00,1655.00,1499.00,1494.00,1618.00,1724.00
CT,1546.00,1399.00,1331.00,1574.00,1620.00,1404.00,1408.00,1633.00,1783.00,1450.00,1493.00,1617.00,1894.00,1507.00,1486.00,1653.00,1981.00,1565.00,1559.00,1744.00,2057.00
DE,1256.00,1148.00,1130.00,1271.00,1307.00,1175.00,1188.00,1355.00,1416.00,1240.00,1288.00,1352.00,1468.00,1266.00,1276.00,1372.00,1517.00,1310.00,1324.00,1430.00,1567.00
DC,1931.00,1830.00,1862.00,2227.00,2163.00,1952.00,1966.00,2238.00,2231.00,1973.00,2033.00,2181.00,2309.00,2017.00,2036.00,2258.00,2414.00,2101.00,2120.00,2442.00,2554.00
FL,1047.00,1011.00,1023.00,1179.00,1107.00,1100.00,1115.00,1298.00,1227.00,1170.00,1215.00,1283.00,1337.00,1220.00,1212.00,1328.00,1395.00,1262.00,1270.00,1404.00,1467.00
