Employment,State
1601694,AL
245214,AK
2520683,AZ
1013345,AR
14533181,CA
2297666,CO
1393081,CT
379106,DE
483503,DC
7737336,FL
3824665,GA
474810,HI
678994,ID
4984510,IL
2636349,IN
1283891,IA
1118474,KS
1582944,KY
1524409,LA
528826,ME
2111244,MD
3072657,MA
3641150,MI
2441719,MN
882891,MS
2352974,MO
404498,MT
814381,NE
1202561,NV
577644,NH
3422050,NJ
627045,NM
7498091,NY
3837343,NC
333613,ND
4576696,OH
1259915,OK
1626114,OR
5021352,PA
412291,RI
1749883,SC
366162,SD
2601041,TN
10610094,TX
1346150,UT
244028,VT
3158158,VA
2829758,WA
527045,WV
2475866,WI
209498,WY
