Area,PopJuly24,NoEstab,Employment,CngEmpPercent,AveWeeklyWages,CngWeekWagesPercent,FIPS,Start
Albany,319964,237,8543,-2.1,1729,7.3,36001,0
Allegany,47299,39,1582,4.5,1300,4,36003,0
Bronx,1384724,315,4658,-9.7,1224,9,36005,0
Broome,196397,163,6905,-3,1480,7.1,36007,0
Cattaraugus,75475,73,2539,-2.9,1342,3.2,36009,0
Cayuga,74567,88,3179,-5.7,1313,0.6,36011,0
Chautauqua,124105,172,8253,3,1239,4.5,36013,0
Chemung,81115,93,4553,-6.3,1399,6.5,36015,0
Chenango,45776,58,5404,3.7,1492,5.9,36017,0
Clinton,77871,73,2951,-2.3,1180,3.3,36019,0
Columbia,60299,106,1533,1.4,1170,3.7,36021,0
Cortland,45945,61,2189,2.2,1390,-5.2,36023,0
Delaware,44191,49,3109,1.3,1689,3.2,36025,0
Dutchess,299963,222,6660,-0.7,2368,7.5,36027,0
Erie,950602,1019,44231,-3.1,1481,5.3,36029,0
Essex,36744,31,882,-6.2,1567,8.6,36031,0
Franklin,47086,30,339,-6.6,1173,3.3,36033,0
Fulton,52073,55,1588,0.5,1161,5.2,36035,0
Genesee,57604,86,3190,0.5,1277,6.4,36037,0
Greene,46903,41,999,-8.6,1415,6.2,36039,0
Hamilton,5082,5,10,-16.7,858,-46.4,36041,0
Herkimer,59585,52,1314,-19.7,1102,0.3,36043,0
Jefferson,113140,69,1759,-0.4,1210,4,36045,0
Kings,2617631,1663,16237,-4.2,1176,6.7,36047,0
Lewis,26570,25,1174,1.1,1289,0.1,36049,0
Livingston,61561,66,1857,1.1,1170,3.3,36051,0
Madison,67072,62,2084,2.5,1293,2.3,36053,0
Monroe,752202,841,34565,-4.2,1533,5.6,36055,0
Montgomery,49648,51,2535,-7.2,1147,3.9,36057,0
Nassau,1392438,1023,17008,-2.1,1471,4.5,36059,0
New York,1660664,1744,16331,-7.2,2131,18.3,36061,0
Niagara,209570,276,8274,-2.9,1482,13.1,36063,0
Oneida,228347,227,10056,-0.3,1278,7.6,36065,0
Onondaga,469812,457,19618,0.6,1574,5,36067,0
Ontario,113012,180,6255,-2,1352,3.9,36069,0
Orange,411767,355,8700,0.8,1330,4.7,36071,0
Orleans,39686,36,1407,-16.7,1259,11.1,36073,0
Oswego,118305,87,3433,1.2,1643,6.5,36075,0
Otsego,60524,57,1275,10.7,1162,7.2,36077,0
Putnam,98409,77,1086,-3.3,1466,7.6,36079,0
Queens,2316841,1181,15634,-2.6,1234,3.2,36081,0
Rensselaer,160749,108,7055,4.8,2309,10.3,36083,0
Richmond,498212,162,6636,NA,1446,NA,36085,0
Rockland,348144,248,7690,0.4,1588,0.1,36087,0
St. Lawrence,106198,72,2326,-2.4,1571,13.2,36089,0
Saratoga,240360,163,6389,-7.6,1805,7.7,36091,0
Schenectady,162261,113,4855,-1.5,1766,-2.2,36093,0
Schoharie,30151,25,282,-1.1,986,14.1,36095,0
Schuyler,17121,39,875,10.3,1089,-5.7,36097,0
Seneca,32650,55,1908,-5.2,1313,5.5,36099,0
Steuben,92015,73,3978,-2.3,1499,7.6,36101,0
Suffolk,1535909,1856,50877,0,1599,10.4,36103,0
Sullivan,80450,51,2070,3.7,1066,4.8,36105,0
Tioga,47574,43,3768,1.5,1947,2.4,36107,0
Tompkins,105602,94,1907,-25.3,1531,-5.3,36109,0
Ulster,182977,204,3412,-1,1238,5.1,36111,0
Warren,65288,82,3147,-2.8,1584,9.3,36113,0
Washington,59839,85,2405,-5.4,1447,2.4,36115,0
Wayne,90757,137,5379,-3.6,1352,3.8,36117,0
Westchester,1006447,600,10627,-8.1,2617,16.2,36119,0
Wyoming,39588,52,1578,-3.4,1216,0.4,36121,0
Yates,24387,57,1346,-2.2,952,6.8,36123,0
