STATE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AK,550,9.8,5.31,1.25,40.04,83280,4.7,18.46,30.61,37.61,50.34,61.91,38400,63680,78220,104710,128770
AL,530,5,7.84,1.84,19.69,40960,1.4,14.56,15.69,19.04,21.67,24.8,30270,32640,39600,45070,51590
AL,1080,6.1,7.29,1.71,20.26,42130,1.2,16,17.17,19.28,22.01,25.42,33280,35710,40100,45780,52860
AL,620,6.7,9.19,2.16,20.1,41810,1.5,15.22,16.7,19.43,21.71,26.21,31660,34730,40410,45150,54520
AL,630,4.9,7.34,1.72,20.64,42940,1.9,15,16.58,19.49,23.45,27.57,31200,34480,40530,48780,57350
AR,680,5.5,5.76,1.35,19.77,41130,1.7,15.05,16.71,17.72,21.32,26.07,31300,34750,36860,44340,54230
AR,460,7.8,7,1.65,18.07,37590,2.7,13.73,14.84,17.55,19.08,23.74,28550,30860,36500,39690,49380
AR,490,5.9,5.61,1.32,19.65,40870,1.7,15.71,17.16,19.2,21.31,23.36,32680,35690,39930,44320,48600
AR,540,5.3,5.86,1.38,19.73,41040,1.3,14.43,16.79,19.43,20.48,26,30010,34920,40400,42600,54080
AZ,1040,4.4,11.09,2.61,30.41,63260,1,22.81,24.96,29.13,37.04,37.48,47450,51920,60580,77040,77950
CA,710,6.5,6.75,1.59,43.62,90730,2.3,28.83,35.64,39.36,52.52,65.43,59970,74130,81860,109240,136090
CA,440,8,7.17,1.69,48.15,100150,1.9,29.36,36.43,45.69,63.78,68.38,61070,75780,95040,132670,142230
CA,800,5.3,7.85,1.84,45.87,95410,2.1,26.26,32.07,42.25,66.9,68.38,54620,66710,87880,139150,142230
CO,440,10.7,6.49,1.52,29.15,60630,3.6,18.99,22.88,25.68,33.05,43.25,39510,47590,53420,68750,89960
CO,540,5.1,5.19,1.22,32.36,67300,1.1,23.91,28.4,30.49,37.11,43.25,49730,59070,63430,77180,89960
CO,550,4.8,4.37,1.03,36.19,75270,1.4,27.04,30.41,36.92,41.42,43.68,56240,63240,76800,86160,90850
CT,160,2.6,4.72,1.11,37.39,77770,0.4,30,30.96,35.91,46.26,48.79,62400,64400,74690,96220,101480
DC,5010,0,7.14,1.68,39.82,82820,0,28.94,34.18,38.48,44.55,52.64,60200,71100,80040,92670,109490
DE,1730,2.3,3.69,0.87,39.51,82180,0.6,28.62,31.99,39.62,46.88,49.88,59540,66540,82410,97500,103750
FL,550,8.6,6.54,1.54,29.44,61230,2.5,19.49,21.24,31.16,33.56,40.65,40540,44170,64820,69800,84550
FL,900,12.3,7.44,1.75,22.54,46880,2.8,18.61,19.62,22.05,23.3,27.65,38700,40800,45870,48450,57510
GA,1130,4.5,5.88,1.38,22.19,46150,1.3,18.2,19.56,22.19,23.67,27.57,37850,40690,46150,49230,57350
GA,870,5,6.68,1.57,22.42,46620,1.1,17,18.65,21.96,24.65,28.77,35360,38800,45680,51280,59850
GA,620,5.5,7.11,1.67,21.14,43960,1.7,16.85,18.33,19.73,22.43,27.89,35040,38130,41030,46660,58010
GA,1440,4.1,7.51,1.76,20.28,42180,2,15.56,18.26,19.12,22.07,24.76,32370,37970,39780,45900,51500
HI,500,0,4.93,1.16,41.13,85550,0.6,35.92,38.21,41.59,41.72,50.47,74700,79480,86510,86770,104980
IA,400,4.9,4.08,0.96,31.06,64600,1.6,21.9,28.39,30.19,36.02,40.46,45550,59060,62790,74930,84170
IA,480,5.9,3.61,0.85,31.97,66500,2,23.78,28.37,31.21,35.87,43.03,49470,59010,64920,74610,89500
IA,330,4.7,4.01,0.94,29.7,61780,1.9,23.26,25.44,29.49,34.1,35.67,48380,52900,61340,70920,74190
IA,690,4.3,3.29,0.77,30.68,63810,1.3,23.35,27.79,30.21,33.6,37.4,48560,57810,62840,69890,77800
ID,330,12.7,4.53,1.06,27.21,56590,5.1,22.71,23.3,24.08,29.62,35.35,47240,48470,50080,61610,73530
ID,430,11.7,4.65,1.09,29.33,61000,3,22.79,23.57,27.56,33.04,39.32,47410,49030,57330,68720,81780
IL,590,10.7,4.62,1.09,31.98,66530,3.9,23.12,26.78,31.19,36.56,44.04,48090,55700,64870,76050,91610
IL,960,7,5.93,1.39,29.68,61720,1.9,21.83,23.49,28.88,32.54,41.29,45410,48870,60080,67680,85890
IL,460,8,4,0.94,28.97,60250,2.5,20.82,23.53,28.49,33.02,36.39,43300,48950,59250,68680,75690
IL,460,9.5,5.26,1.24,27.21,56590,3.4,18.97,22.77,26.1,30.09,36.2,39460,47370,54290,62590,75290
IN,860,6.5,4.06,0.95,28.26,58780,1.2,23.05,24.12,27.86,30.8,35.98,47930,50160,57940,64050,74840
IN,680,5.2,4.31,1.01,26.22,54550,1.4,21.96,23.66,25.33,28.4,31.47,45680,49210,52680,59070,65460
IN,750,5.4,4.05,0.95,27.78,57770,1.1,22.34,23.89,26.36,29.94,37.05,46470,49680,54820,62280,77060
KS,1790,7.3,4.61,1.08,22.79,47410,1.5,17.96,19,22.13,24.59,29.03,37360,39520,46040,51150,60380
KY,670,14,4.42,1.04,22.98,47800,3.3,16.81,19.45,23.27,26.14,30.46,34970,40460,48410,54360,63350
KY,660,14.6,3.86,0.91,19.66,40890,3.3,14.78,17.54,18.69,22.63,24.38,30730,36490,38880,47080,50710
KY,920,10.2,4.96,1.16,21.42,44560,2.6,16.32,18.16,22.24,23.55,28.42,33950,37770,46270,48970,59120
