STATE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AK,600,1,3.56,0.84,50.63,105300,0.5,36.97,41.85,52.94,64.3,64.3,76900,87050,110120,133750,133750
AK,130,4.9,3.63,0.85,44.74,93050,0.7,33.21,37.23,42.7,51.32,62.59,69080,77440,88820,106750,130190
AL,340,5.7,7.72,1.81,23.84,49580,1,17.52,19.28,22.21,26.97,30.94,36430,40100,46200,56100,64360
AL,360,3.6,5.66,1.33,26.37,54840,0.9,20.4,23.58,24.9,27.4,35.57,42430,49040,51780,56990,73980
AL,3350,2.8,6.57,1.54,28.49,59260,0.9,19.94,24.02,29.58,32.75,37.38,41470,49970,61530,68110,77740
AL,540,2.7,6.61,1.55,28.74,59780,1,20.19,24.56,26.85,31.77,41.16,42000,51080,55850,66090,85610
AL,330,5.7,5.76,1.35,26.03,54140,1.5,18.75,22.21,23.87,29.54,31.81,39010,46190,49650,61440,66160
AL,460,5.2,7.66,1.8,24.56,51080,1.7,15.78,18.11,24.97,28.93,31.42,32820,37670,51940,60170,65350
AL,340,6.5,6.21,1.46,23.26,48380,2,16.12,17.4,23.54,26.97,31.89,33540,36190,48950,56100,66330
AL,310,3.2,9.55,2.24,19.32,40180,1,14.98,14.98,18.78,22.1,24.73,31160,31160,39070,45970,51440
AL,1010,4.2,4.02,0.94,28.34,58950,0.8,20.23,24.53,26.31,32.81,37.63,42080,51030,54720,68230,78280
AL,990,2.8,5.81,1.37,23.94,49800,0.9,16.57,20.43,24.92,24.95,32.61,34470,42480,51820,51900,67830
AL,1040,1.8,6.47,1.52,23.98,49870,0.8,17.16,19.48,22.17,28.28,32.67,35690,40520,46110,58830,67950
AL,690,2.8,6.62,1.56,29.29,60910,0.8,17.94,25.36,28.59,37.02,38.21,37320,52740,59470,77000,79470
AR,820,3.2,3.06,0.72,23.71,49310,0.7,19.03,20.24,23.09,25.17,29.39,39590,42100,48030,52360,61120
AR,400,5.1,3.78,0.89,21.11,43910,1.9,15.45,17.27,20.49,22.45,27.34,32130,35910,42620,46700,56870
AR,130,1.8,3.52,0.83,24.31,50560,0.6,20.67,21.35,24.2,24.2,32.45,43000,44410,50330,50330,67500
AR,240,5.8,4,0.94,23.25,48360,1.1,19.78,19.78,22.5,24.77,32.89,41130,41130,46810,51510,68410
AR,1380,3.3,4,0.94,26.52,55160,0.9,18.54,21.77,25.94,33.78,33.78,38550,45280,53960,70270,70270
AR,140,7.3,4.7,1.1,22.76,47340,1.4,16.55,18.49,20.69,26,34.01,34410,38460,43030,54080,70740
AZ,370,1.8,5.78,1.36,33.88,70470,0.6,22.37,29.58,29.78,40.89,46.55,46540,61530,61950,85050,96820
AZ,320,1.7,5.82,1.37,31.97,66490,0.3,24.16,28.32,31.57,36.53,42.47,50260,58910,65660,75980,88330
AZ,8290,0.4,3.62,0.85,39.11,81340,0.5,30.73,32.41,41.89,42.04,44.65,63920,67400,87140,87450,92870
AZ,410,9.1,5.99,1.41,32.88,68400,1.2,26.89,29.65,32.36,36.58,40.22,55920,61670,67320,76080,83650
AZ,260,4.6,7.65,1.8,31.31,65130,1.3,23.57,25.72,29.06,34.59,40.89,49030,53490,60440,71940,85050
AZ,370,1.7,5.55,1.3,31.38,65270,0.9,23.22,27.67,29.78,35.49,39.9,48290,57540,61930,73810,82990
CA,1700,1.8,5.16,1.21,39.4,81960,0.5,24.26,31.16,40.49,40.58,56.76,50460,64820,84220,84400,118050
CA,300,5.8,3.81,0.9,46.44,96600,1.4,29.56,37.13,47.29,58.41,68.38,61490,77230,98360,121490,142230
CA,280,5.1,4.45,1.05,41.99,87340,1.5,25.08,30.26,38.75,50.42,68.95,52160,62940,80590,104880,143420
CA,1970,1.5,4.81,1.13,48.73,101350,0.8,34.31,40.26,49.66,52.96,67.09,71360,83740,103290,110160,139540
CA,170,3.7,3.66,0.86,43.37,90200,1.3,29,37.84,41.67,45.07,66.9,60310,78710,86680,93740,139150
CA,23980,1.1,3.88,0.91,53.91,112130,0.7,37.98,47.59,54.55,63.83,64.84,79000,98990,113460,132770,134870
CA,240,3.4,4.65,1.09,39.36,81880,0.8,28.05,31.06,35.78,39.77,67.48,58340,64610,74410,82720,140360
CA,320,7,4.15,0.97,46.05,95780,1.6,18.6,35.34,44.45,59.47,68.95,38690,73500,92460,123690,143420
CA,690,2.4,3.57,0.84,47.95,99730,0.6,30.9,40.66,48.32,60.04,63.41,64270,84570,100500,124870,131890
CA,280,2.8,3.6,0.85,59.76,124300,0.9,41.56,54.17,61.82,63.34,70.15,86440,112670,128590,131740,145910
CA,1090,1.5,3.45,0.81,54.36,113080,0.7,35.8,48.52,55.12,67.32,67.32,74470,100930,114650,140030,140030
CA,340,3.6,5.02,1.18,52.5,109190,0.6,29.08,46.72,52.21,68.38,71.43,60480,97180,108600,142230,148570
