STATE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AK,1280,4.4,4.11,0.96,45.51,94660,2.2,27.88,36.8,43.3,52.98,64.3,57980,76550,90060,110190,133750
AL,12770,1.8,6.22,1.46,25.13,52270,0.6,16.7,19.62,24.53,30.42,33.5,34730,40810,51030,63280,69680
AR,5270,2.9,4.15,0.97,22.54,46880,0.8,15.99,18.27,21.3,25.94,33.78,33250,38000,44300,53960,70270
AZ,12580,0.8,4.02,0.94,36.73,76390,0.4,26.89,31.51,36.76,41.98,44.65,55920,65540,76450,87320,92860
CA,68010,0.6,3.79,0.89,53.74,111770,0.6,34.31,43.74,54.55,64.84,69.06,71360,90970,113460,134870,143650
CO,9950,1.2,3.51,0.83,41.75,86840,0.6,29.84,36.29,42.5,48.81,50.89,62070,75490,88400,101530,105840
CT,6660,1.2,4.01,0.94,39.04,81190,0.4,28.66,33.54,41.03,44.69,48.79,59610,69750,85340,92960,101480
DC,5010,0,7.14,1.68,39.82,82820,0,28.94,34.18,38.48,44.55,52.64,60200,71100,80040,92670,109490
DE,1730,2.3,3.69,0.87,39.51,82180,0.6,28.62,31.99,39.62,46.88,49.88,59540,66540,82410,97500,103750
FL,48030,0.6,5.02,1.18,37.73,78480,0.5,22.67,25.71,32.81,43.31,53.46,47160,53470,68240,90070,111190
GA,23370,5.4,4.91,1.15,27.02,56200,1.6,19.28,22.68,25.83,30.69,36.57,40100,47160,53730,63830,76070
HI,2380,0,3.86,0.91,43.2,89850,1.4,35.5,41.41,42.42,42.7,53.51,73840,86130,88230,88820,111300
IA,4920,1.7,3.18,0.75,33.91,70530,0.6,24.3,29.63,33.3,38.93,43.69,50540,61630,69270,80970,90880
ID,2980,4.5,3.62,0.85,31.81,66170,1.5,23.23,24.93,30.34,36.71,43.05,48330,51850,63110,76360,89540
IL,30550,2.5,5.08,1.19,42.13,87630,0.8,25,34.27,47.32,49.29,52.69,52000,71270,98430,102520,109600
IN,12430,1.8,3.94,0.93,32.5,67590,0.5,24.24,28.29,31.89,37.46,40.07,50420,58840,66320,77920,83350
KS,5840,2.7,4.14,0.97,27.38,56950,0.8,19,22.32,25.56,30.89,40.03,39520,46430,53170,64250,83260
KY,7180,5.4,3.66,0.86,24.78,51540,1.9,17.14,20.04,24.27,28.57,33.41,35640,41670,50470,59430,69490
LA,12670,2.9,6.84,1.61,23.72,49340,0.7,15.93,19.14,22.98,28.7,31.37,33140,39810,47800,59690,65260
MA,16910,1.7,4.64,1.09,37.87,78770,0.6,26.09,31.98,36.4,43.14,51.33,54270,66520,75700,89740,106770
MD,9470,0.8,3.54,0.83,36.54,76000,0.5,25.38,30.55,36.28,41.85,48.61,52790,63550,75460,87040,101100
ME,1990,4.6,3.2,0.75,29.96,62310,0.9,23.61,26.14,29.94,33.22,36.38,49120,54380,62280,69100,75670
MI,15850,2.1,3.65,0.86,32.8,68220,0.5,23.15,27.9,33.29,37.79,41.21,48150,58030,69240,78610,85720
MN,9330,2.6,3.24,0.76,39.72,82620,0.7,28.35,33.2,40.42,46.8,50.49,58960,69050,84080,97340,105020
MO,13070,2.7,4.54,1.07,28.38,59020,0.9,17.74,22.06,27.16,33.91,40.15,36910,45870,56480,70530,83510
MS,7390,3.1,6.43,1.51,20.62,42900,0.9,14.26,17.57,19.75,23.36,27.07,29670,36540,41080,48590,56300
MT,2130,3.1,4.24,1,31.48,65470,1.1,23.14,27.19,30.68,35.8,39.96,48130,56550,63810,74450,83120
NC,21300,1.1,4.44,1.04,27.05,56250,0.4,19.64,22.54,25.18,31.19,37.4,40860,46880,52380,64880,77790
ND,1730,5.2,4.13,0.97,32.76,68130,1.2,24.8,28.69,32.24,35.69,40.36,51590,59680,67060,74220,83950
NE,3830,4,3.83,0.9,32.86,68340,1,22.58,26.05,31.73,41.07,43.06,46960,54180,66000,85430,89570
