STATE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,A_MEAN,MEAN_PRSE,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AK,470,4.5,1.507,1.08,"79,090",1.2,"60,460","66,320","83,130","85,230","104,480"
AL,880,8.3,0.428,0.31,"58,080",1.6,"47,590","50,540","59,830","63,660","71,940"
AR,"1,370",1.7,1.077,0.77,"53,660",0.6,"42,810","47,050","51,400","60,500","65,530"
AZ,"2,020",5.5,0.646,0.46,"56,810",1.2,"41,650","48,660","51,980","64,880","70,430"
CA,"19,870",6.0,1.107,0.79,"89,560",1.6,"56,330","70,520","89,270","102,580","124,210"
CO,"3,900",0.7,1.377,0.98,"65,130",0.5,"48,400","52,190","63,570","79,030","86,340"
CT,"2,560",2.3,1.541,1.10,"83,820",0.8,"52,100","64,350","81,950","101,310","110,140"
DC,"1,230",9.0,1.748,1.25,"85,040",3.2,"47,430","66,390","82,040","105,890","118,020"
DE,"1,100",15.9,2.338,1.67,"66,180",2.9,"50,540","52,930","62,560","77,690","83,610"
FL,"9,430",2.3,0.986,0.70,"58,400",0.7,"50,110","51,180","52,640","62,280","78,940"
GA,"10,750",8.8,2.260,1.61,"72,900",2.7,"46,590","60,680","74,510","81,950","100,520"
HI,190,1.2,0.311,0.22,"55,750",0.6,"55,830","55,850","55,860","56,040","60,240"
IA,"1,840",9.6,1.194,0.85,"57,240",1.7,"39,810","48,220","57,000","65,400","76,050"
ID,"1,080",18.6,1.317,0.94,"64,790",4.1,"40,930","48,130","61,220","76,850","93,400"
IL,"12,560",3.1,2.090,1.49,"75,640",0.6,"49,890","60,320","76,840","95,280","102,460"
IN,"3,440",5.1,1.088,0.78,"62,440",0.9,"44,420","47,670","57,780","73,980","85,610"
KS,"1,490",3.5,1.055,0.75,"60,020",0.7,"47,180","50,300","60,030","64,290","75,110"
KY,"3,600",0.4,1.836,1.31,"56,690",0.4,"41,560","49,140","56,600","62,800","68,210"
LA,"3,680",1.0,1.986,1.42,"56,330",0.4,"48,430","50,530","52,440","61,580","66,380"
MA,"6,130",2.8,1.682,1.20,"84,780",0.7,"55,040","64,770","82,390","99,580","109,800"
MD,"2,840",9.7,1.060,0.76,"74,080",2.5,"46,290","58,440","65,570","91,010","105,290"
ME,"1,130",7.6,1.823,1.30,"60,960",3.4,"42,700","48,000","61,430","74,500","80,930"
MI,"3,220",6.6,0.739,0.53,"67,510",1.5,"44,140","50,310","67,080","79,080","88,190"
MN,"3,170",8.5,1.101,0.79,"66,250",1.9,"47,270","51,550","62,740","77,530","87,710"
MO,"1,530",13.8,0.532,0.38,"50,860",2.5,"37,750","43,050","48,430","56,130","62,500"
MS,"2,320",4.6,2.017,1.44,"50,750",0.8,"41,260","46,800","49,450","55,810","61,760"
MT,740,10.6,1.479,1.06,"63,350",2.2,"42,820","46,420","61,160","76,750","84,160"
NC,"4,690",6.3,0.978,0.70,"54,620",1.1,"39,830","47,810","53,060","61,570","67,500"
ND,640,16.4,1.536,1.10,"59,920",2.4,"44,180","50,320","55,880","66,160","83,370"
NE,"1,480",4.8,1.479,1.06,"60,950",0.9,"45,780","51,810","62,130","66,780","76,970"
NH,"1,260",6.9,1.870,1.33,"61,990",1.6,"40,500","48,420","61,710","75,750","82,490"
NJ,"11,300",4.2,2.689,1.92,"77,070",0.7,"61,300","63,810","75,000","86,750","100,890"
NM,"1,030",11.7,1.213,0.87,"67,960",3.1,"50,150","60,100","63,560","77,490","97,790"
NV,490,10.0,0.330,0.24,"66,350",6.8,"26,820","50,190","63,440","81,590","102,130"
NY,"18,740",4.6,1.996,1.42,"94,000",1.4,"58,300","67,120","84,720","127,620","135,600"
OH,"8,390",7.2,1.535,1.10,"71,970",2.3,"45,160","59,380","71,100","83,800","100,070"
OK,"1,820",2.7,1.092,0.78,"53,130",0.9,"31,800","45,990","49,570","61,590","80,850"
OR,"1,730",9.6,0.891,0.64,"90,600",2.9,"55,470","68,770","89,120","106,890","134,130"
PA,"5,980",8.3,1.006,0.72,"74,360",2.6,"51,460","59,370","68,950","82,230","99,070"
RI,990,4.0,2.028,1.45,"76,180",1.6,"50,400","63,890","79,240","90,660","96,360"
SC,"2,550",5.6,1.148,0.82,"59,590",1.1,"44,770","49,400","60,030","68,090","77,370"
SD,790,2.7,1.776,1.27,"52,150",0.5,"45,250","47,310","50,840","55,710","60,790"
TN,"4,330",1.1,1.346,0.96,"59,860",0.5,"48,310","50,430","61,900","63,700","76,280"
TX,"23,990",1.7,1.770,1.26,"63,790",0.6,"48,210","58,190","63,300","66,710","81,050"
UT,"2,430",10.9,1.445,1.03,"54,830",3.5,"29,650","37,180","55,640","70,590","77,370"
VA,"6,880",1.8,1.728,1.23,"70,650",0.5,"48,540","57,000","64,550","81,630","103,360"
VT,850,11.2,2.838,2.02,"66,140",2.6,"47,860","51,680","63,370","75,010","85,080"
WA,"3,360",1.0,0.962,0.69,"89,140",0.4,"64,480","74,800","84,570","105,890","117,100"
WI,"3,770",7.8,1.307,0.93,"61,450",1.2,"47,540","49,850","61,350","69,140","77,420"
WV,"2,200",7.3,3.196,2.28,"52,180",1.4,"37,510","47,560","50,050","60,090","63,970"
WY,590,5.3,2.152,1.54,"64,410",0.6,"51,110","55,730","64,040","74,540","80,930"
