STATE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AK,280,47.8,0.89,0.08,70.01,145630,4.6,41.95,52.27,72.79,84.83,93.45,87260,108720,151400,176450,194380
AL,17130,4.7,8.35,0.76,53.19,110630,1.5,29.58,37.73,49.39,64.57,81.29,61520,78480,102730,134310,169070
AR,5650,14.7,4.44,0.41,42.37,88130,4.8,14.13,27.96,44.3,53.97,64.05,29390,58150,92140,112260,133220
AZ,38540,2.7,12.31,1.13,61.56,128040,1.6,37.72,45.77,59.22,69.85,84.83,78450,95200,123180,145280,176440
CA,304390,1.1,16.96,1.55,83.55,173780,0.8,49.64,65.04,81.09,100.92,108.97,103240,135280,168660,209910,226670
CO,45270,5.7,15.99,1.47,69.92,145420,1.1,41.62,50.73,64.89,80.44,99.25,86560,105510,134960,167320,206430
CT,18380,3.4,11.07,1.01,61.75,128450,1.5,37.51,47.93,60.14,75.69,89.63,78030,99690,125080,157440,186430
DC,8470,7.6,12.07,1.11,70.22,146060,2.6,46,58.25,67.48,81.35,95.22,95670,121150,140360,169200,198070
DE,4850,9.6,10.33,0.95,63.29,131650,2,44.08,51.97,63.31,73.29,84.04,91680,108110,131690,152440,174800
FL,86550,2.3,9.05,0.83,57.93,120490,1.4,31.17,42.81,58.81,69.17,82.75,64830,89050,122310,143870,172120
GA,51960,3.5,10.92,1,60.24,125290,1.4,33.37,46.55,61.09,72.58,83.77,69410,96820,127070,150960,174250
HI,2740,10.8,4.44,0.41,54.74,113860,5.4,22.67,38.31,50.41,67,83.73,47150,79680,104860,139370,174150
IA,9730,3.5,6.3,0.58,53.02,110280,1.9,32.5,41.38,50.92,62.66,71.4,67600,86060,105920,130320,148510
ID,5910,5.3,7.19,0.66,64.91,135000,16.8,21.92,36.87,49.38,65.58,84.7,45580,76690,102700,136410,176180
IL,56290,4.7,9.36,0.86,59.47,123700,1.7,34.61,46.94,60.67,72.3,81.54,71980,97630,126200,150380,169600
IN,13440,4,4.26,0.39,53.16,110580,1.3,32.68,40.16,50.84,62.36,73.97,67960,83530,105740,129720,153860
KS,14490,5.3,10.26,0.94,53.13,110520,1.8,30.51,38.28,50.12,63.62,77.78,63470,79620,104250,132320,161780
KY,5800,4.9,2.96,0.27,50.99,106070,1.5,32.19,40.38,49.54,61.32,72.58,66950,83990,103030,127540,150960
LA,3960,8.9,2.14,0.2,62.01,128980,3.7,31.91,38.64,50.41,60.25,74.2,66360,80370,104840,125330,154330
MA,59960,2.6,16.46,1.51,70.47,146580,1.3,42.53,52.96,65.93,81.71,98.43,88460,110150,137130,169960,204740
MD,30700,4.2,11.47,1.05,72.47,150740,1.9,41.44,52.11,66.37,83.68,104.23,86200,108380,138050,174050,216800
ME,3220,6.2,5.18,0.47,56.32,117150,4.1,32.46,41.22,54.42,68.75,85.85,67520,85740,113190,142990,178570
MI,44140,3.5,10.15,0.93,51.96,108080,0.9,29.9,39.11,49.92,63.32,75.65,62190,81340,103830,131700,157360
MN,38570,3.3,13.39,1.23,57.79,120210,0.8,36.78,46.47,60.28,68.17,79.77,76490,96650,125380,141800,165930
MO,18450,5.6,6.42,0.59,51.91,107980,1.4,27.45,37.29,50.29,63.8,76.43,57100,77560,104600,132700,158970
MS,3090,19.1,2.69,0.25,43.24,89940,4.4,18.52,27.84,40.96,59.11,66.01,38520,57900,85190,122950,137290
MT,2370,12.8,4.73,0.43,63.16,131380,8,32.92,39.92,52.54,78.88,100.43,68480,83030,109270,164060,208890
NC,58620,2,12.23,1.12,62.97,130970,1,38.11,49.54,62.8,74.34,86.33,79280,103050,130620,154630,179570
ND,1840,8.4,4.4,0.4,51.38,106870,6.4,29.91,38.84,48.55,58.85,73.81,62210,80780,100980,122410,153520
NE,8270,9.7,8.26,0.76,54.01,112340,1.3,34.87,43.04,52.79,64.39,68.05,72540,89530,109800,133940,141550
NH,9250,5.7,13.71,1.26,61.75,128440,2.3,37.49,43.99,61.95,77.47,89.69,77970,91500,128860,161130,186560
NJ,54570,3.2,12.99,1.19,64.89,134970,1.5,37.55,49.41,63.31,78.92,92.22,78110,102770,131680,164150,191820
NM,4270,6.5,5.05,0.46,60.51,125860,2.1,34.1,42.6,60.84,78.04,89,70930,88620,126560,162330,185130
NV,5030,11,3.4,0.31,64.18,133490,4.2,36.77,46.37,60.38,80.88,104.84,76490,96450,125590,168240,218060
NY,105460,3.9,11.23,1.03,72.12,150020,1.5,39.01,51.49,69.94,84.95,103.72,81150,107110,145470,176700,215730
OH,42250,2.2,7.73,0.71,54.14,112610,0.7,34.26,40.71,51.71,63.84,76.56,71250,84670,107560,132790,159250
OK,7670,6.9,4.61,0.42,53.41,111100,3.6,29.02,38.6,50.02,67.22,79,60350,80280,104030,139810,164330
OR,21650,4.7,11.14,1.02,63.13,131310,1.5,37.61,48.07,62.5,76.96,87.58,78230,99980,130000,160080,182170
PA,41300,3,6.94,0.64,56.3,117110,1.4,34.62,42.35,53.8,64.95,79.87,72010,88090,111910,135100,166120
RI,5460,6.5,11.18,1.02,64.92,135030,3.7,39.16,50.15,62.02,76.5,96.63,81460,104310,128990,159120,200990
SC,11810,7.7,5.31,0.49,56.15,116790,1.8,30.23,39.68,53.43,67.49,87.67,62870,82530,111130,140380,182350
SD,2240,7.8,5.04,0.46,45.44,94500,7.5,25.19,31.67,39.83,50.73,78.22,52400,65870,82850,105520,162690
TN,16560,4.3,5.14,0.47,54.53,113410,1.3,32.52,43.35,53.2,62.94,75.71,67650,90160,110660,130910,157480
TX,138510,2.5,10.22,0.94,60.52,125890,0.9,34.72,47.04,61.06,74.59,83.35,72210,97830,127000,155160,173360
UT,25930,4.8,15.45,1.42,58.3,121260,2.2,31.41,41.48,56.17,68.98,82.8,65330,86280,116830,143470,172230
VA,86680,2.3,21.77,2,67.27,139920,1.1,38.16,50.38,64.92,81.18,98.95,79360,104790,135040,168850,205820
VT,1710,10.7,5.68,0.52,57.71,120030,5.2,34.16,42.86,54.14,62.5,94.99,71040,89150,112620,130000,197570
WA,89110,4.4,25.49,2.34,76.92,159990,0.9,46.58,62.67,78.07,94.35,105.43,96890,130350,162390,196260,219280
WI,21800,8,7.56,0.69,51.69,107500,1.1,29.25,39.2,49.36,61.3,75.79,60840,81540,102660,127500,157650
WV,1890,11,2.74,0.25,45.23,94080,3.1,28.51,32.08,39.13,53.36,68.27,59290,66720,81380,110990,142000
